_id,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,extra_people,guests_included,review_scores,host_id,host_name,host_location,host_response_time,host_neighbourhood,host_response_rate,host_identity_verified,host_total_listings_count,suburb,government_area,market,country,country_code,location_type,longitude,latitude,availability_30,availability_60,availability_90,availability_365,amenities
7246903,Cozy Townhouse with Private Deck,Townhouse,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,4,3,3,118,1,87,Not Specified,50,4,92,26411218,Desmond,"New York, New York, United States",within an hour,Not Specified,100,False,2,Queens,Maspeth,New York,United States,US,Point,-73.88891,40.73456,6,9,23,23,"['Accessible-height bed', 'Air conditioning', 'Bathtub', 'Bed linens', 'Carbon monoxide detector', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Essentials', 'Extra pillows and blankets', 'Family/kid friendly', 'Fire extinguisher', 'Flat path to front door', 'Free street parking', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Luggage dropoff allowed', 'Microwave', 'Oven', 'Patio or balcony', 'Private living room', 'Refrigerator', 'Shampoo', 'Smoke detector', 'Step-free access', 'Step-free access', 'Step-free access', 'Stove', 'TV', 'Well-lit path to entrance', 'Wide clearance to bed', 'Wide doorway', 'Wide doorway', 'Wide doorway', 'Wide entryway', 'Wide hallway clearance', 'Wifi']"
7311170,Large flat Mid-Levels with harbor/skyline views,Apartment,Entire home/apt,Real Bed,2,25,strict_14_with_grace_period,6,3,3,19,2,1680,200,100,1,99,5958610,Nadia & Thierry,Hong Kong,within an hour,Mid-Levels,100,True,1,Mid-Levels,Central & Western,Hong Kong,Hong Kong,HK,Point,114.14769,22.28277,0,7,8,22,"['Air conditioning', 'Baby bath', 'Babysitter recommendations', 'Bathtub', 'Beach essentials', 'Bed linens', 'Cable TV', 'Changing table', 'Children’s books and toys', 'Children’s dinnerware', 'Coffee maker', 'Cooking basics', 'Crib', 'Dishes and silverware', 'Dryer', 'Essentials', 'Extra pillows and blankets', 'Family/kid friendly', 'Free parking on premises', 'Hair dryer', 'Hangers', 'Heating', 'High chair', 'Host greets you', 'Hot tub', 'Hot water', 'Kitchen', 'Laptop friendly workspace', 'Luggage dropoff allowed', 'Microwave', 'Oven', 'Pack ’n Play/travel crib', 'Patio or balcony', 'Private living room', 'Refrigerator', 'Room-darkening shades', 'Shampoo', 'Single level home', 'Stove', 'TV', 'Table corner guards', 'Washer', 'Wifi']"
73683,Sagrada Familia area for 12 people,Apartment,Entire home/apt,Real Bed,2,30,flexible,12,4,14,138,2,300,150,20,8,92,135703,Nick,"Barcelona, Catalonia, Spain",within an hour,Camp d'en Grassot i Gràcia Nova,100,True,13,Gràcia,el Camp d'en Grassot i Gràcia Nova,Barcelona,Spain,ES,Point,2.17081,41.40506,9,29,47,294,"['24-hour check-in', 'Air conditioning', 'Buzzer/wireless intercom', 'Cable TV', 'Carbon monoxide detector', 'Elevator', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'Hair dryer', 'Hangers', 'Heating', 'High chair', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Luggage dropoff allowed', 'Pack ’n Play/travel crib', 'Paid parking off premises', 'Self check-in', 'Shampoo', 'Smart lock', 'Smoke detector', 'TV', 'Washer', 'Wifi']"
7397649,"Astoria 1 Bed, 2 Blocks to Train",Apartment,Entire home/apt,Real Bed,2,1125,flexible,3,1,1,0,1,125,35,25,3,0,9991314,Jenna,"New York, New York, United States",Not Specified,Astoria,Not Specified,False,1,Astoria,Astoria,New York,United States,US,Point,-73.92714,40.76448,0,0,0,0,"['Air conditioning', 'Cable TV', 'Carbon monoxide detector', 'Essentials', 'Family/kid friendly', 'Internet', 'Kitchen', 'Shampoo', 'Smoke detector', 'TV', 'Wifi']"
7549277,Large Home near Manly and Northern Beaches,House,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,6,4,4,3,2,300,120,25,6,100,19675167,Mari,"Sydney, New South Wales, Australia",within a few hours,Not Specified,100,True,1,Not Specified,Warringah,Sydney,Australia,AU,Point,151.26562,-33.75694,0,7,7,10,"['Air conditioning', 'BBQ grill', 'Bed linens', 'Buzzer/wireless intercom', 'Cable TV', 'Children’s books and toys', 'Dryer', 'Essentials', 'Family/kid friendly', 'Free street parking', 'Garden or backyard', 'Hangers', 'Heating', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Lockbox', 'Patio or balcony', 'Self check-in', 'Smoke detector', 'TV', 'Washer', 'Wifi']"
7714434,Belle chambre calme,Apartment,Private room,Real Bed,1,3,flexible,2,1,1,99,1,30,30,8,1,93,40527700,Aurélien,"Montreal, Québec, Canada",Not Specified,Hochelaga-Maisonneuve,Not Specified,False,1,Mercier-Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,Montreal,Canada,CA,Point,-73.54518,45.55946,29,59,89,353,"['Dryer', 'Essentials', 'Heating', 'Kitchen', 'Smoke detector', 'Washer', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']"
7698344,Central comfort flat,Apartment,Entire home/apt,Real Bed,7,1125,moderate,4,2,3,0,1,100,55,0,1,0,30528370,Emre,"Brno, South Moravian Region, Czech Republic",Not Specified,Not Specified,Not Specified,True,1,Şişli,Sisli,Istanbul,Turkey,TR,Point,28.99531,41.07186,0,0,0,0,"['Essentials', 'Family/kid friendly', 'Heating', 'Internet', 'Kitchen', 'Long term stays allowed', 'Shampoo', 'TV', 'Washer', 'Wifi']"
7718248,4BR family home nr beaches and park,House,Entire home/apt,Real Bed,5,1125,moderate,7,4,7,3,2,495,150,0,1,100,40553892,Sharon,"Sydney, New South Wales, Australia",Not Specified,Randwick,Not Specified,True,1,Randwick,Randwick,Sydney,Australia,AU,Point,151.2503,-33.9096,0,0,0,0,"['Essentials', 'Family/kid friendly', 'Hair dryer', 'Hangers', 'Heating', 'Indoor fireplace', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Other pet(s)', 'Smoke detector', 'TV', 'Washer', 'Wifi', 'translation missing: en.hosting_amenity_50']"
7760228,Ocean View Condo in the Heart of Kihei!,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,6,2,2,33,2,157,175,0,1,97,23411302,Cindy,"Newark, New Jersey, United States",within an hour,Kihei/Wailea,100,False,1,Maui,Kihei-Makena,Maui,United States,US,Point,-156.44638,20.72575,4,7,18,184,"['Air conditioning', 'Cable TV', 'Children’s books and toys', 'Dryer', 'Elevator', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'Free parking on premises', 'Hair dryer', 'Hangers', 'High chair', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Luggage dropoff allowed', 'Other', 'Pack ’n Play/travel crib', 'Pool', 'Shampoo', 'Smoke detector', 'Smoking allowed', 'Suitable for events', 'TV', 'Washer', 'Wifi']"
7762339,Bohemian 4BR in Plateau by Sonder,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,7,4,4,58,1,107,166,7,8,87,12243051,Sonder,"San Francisco, California, United States",within an hour,Gay Village,94,False,1198,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,-73.57114,45.51542,0,0,0,0,"['Air conditioning', 'Bed linens', 'Carbon monoxide detector', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Dryer', 'Essentials', 'Fire extinguisher', 'Free street parking', 'Hair dryer', 'Hangers', 'Heating', 'Hot water', 'Iron', 'Keypad', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Microwave', 'Oven', 'Private living room', 'Refrigerator', 'Self check-in', 'Shampoo', 'Smoke detector', 'Stove', 'TV', 'Washer', 'Wifi']"
